cciExit,8/23/2022 19:53,4128.75,-37.5,-8475
cciBuy,8/23/2022 19:48,4129.5,-37.5,-8475
cciExit,8/23/2022 19:46,4129,-37.5,-8437.5
cciBuy,8/23/2022 19:45,4129.75,-37.5,-8437.5
cciExit,8/23/2022 19:41,4129,-75,-8400
cciBuy,8/23/2022 19:36,4130.5,-75,-8400
cciExit,8/23/2022 19:27,4131.75,50,-8325
cciBuy,8/23/2022 18:57,4130.75,50,-8325
cciExit,8/23/2022 18:55,4130.5,37.5,-8375
cciBuy,8/23/2022 18:38,4129.75,37.5,-8375
cciExit,8/23/2022 18:32,4130,-25,-8412.5
cciBuy,8/23/2022 18:30,4130.5,-25,-8412.5
cciExit,8/23/2022 16:51,4127.5,-25,-8387.5
cciBuy,8/23/2022 16:51,4128,-25,-8387.5
cciExit,8/23/2022 16:46,4127.75,-37.5,-8362.5
cciBuy,8/23/2022 16:46,4128.5,-37.5,-8362.5
cciExit,8/23/2022 16:43,4128.25,-25,-8325
cciBuy,8/23/2022 16:38,4128.75,-25,-8325
cciExit,8/23/2022 16:10,4127.75,-37.5,-8300
cciBuy,8/23/2022 16:09,4128.5,-37.5,-8300
cciExit,8/23/2022 16:03,4129,-187.5,-8262.5
cciBuy,8/23/2022 16:01,4132.75,-187.5,-8262.5
cciExit,8/23/2022 15:59,4129,-237.5,-8075
cciBuy,8/23/2022 15:54,4133.75,-237.5,-8075
cciExit,8/23/2022 15:50,4132,-100,-7837.5
cciBuy,8/23/2022 15:50,4134,-100,-7837.5
cciExit,8/23/2022 15:45,4133.75,-175,-7737.5
cciBuy,8/23/2022 15:41,4137.25,-175,-7737.5
cciExit,8/23/2022 15:35,4135.25,-87.5,-7562.5
cciBuy,8/23/2022 15:35,4137,-87.5,-7562.5
cciExit,8/23/2022 15:31,4136.5,-87.5,-7475
cciBuy,8/23/2022 15:27,4138.25,-87.5,-7475
cciExit,8/23/2022 15:25,4137,-125,-7387.5
cciBuy,8/23/2022 15:16,4139.5,-125,-7387.5
cciExit,8/23/2022 15:13,4137.5,175,-7262.5
cciBuy,8/23/2022 14:54,4134,175,-7262.5
cciExit,8/23/2022 14:51,4133.25,-50,-7437.5
cciBuy,8/23/2022 14:51,4134.25,-50,-7437.5
cciExit,8/23/2022 14:46,4134.5,-87.5,-7387.5
cciBuy,8/23/2022 14:38,4136.25,-87.5,-7387.5
cciExit,8/23/2022 14:33,4135.75,225,-7300
cciBuy,8/23/2022 13:56,4131.25,225,-7300
cciExit,8/23/2022 13:47,4135,-62.5,-7525
cciBuy,8/23/2022 13:46,4136.25,-62.5,-7525
cciExit,8/23/2022 13:39,4137.5,25,-7462.5
cciBuy,8/23/2022 13:27,4137,25,-7462.5
cciExit,8/23/2022 13:24,4133.5,-175,-7487.5
cciBuy,8/23/2022 13:15,4137,-175,-7487.5
